user_id,email,phone,password,type,permissions,role,monitor_status
1,ymcintyre@hotmail.com,9858008887,password373,Admin,Moderate,User,FALSE
2,jacksonelizabeth@hotmail.com,9870082004,password878,User,Limited,User,FALSE
3,cassandra91@hotmail.com,9858676756,password101,Admin,Moderate,Admin,TRUE
4,icurtis@hotmail.com,9825783497,password519,Admin,Limited,Manager,TRUE
5,natashasawyer@douglas-ramos.org,9891558287,password760,Admin,Limited,User,FALSE
6,simmonskirk@rivera.com,9834577676,password679,User,Limited,Manager,TRUE
7,joshua79@yahoo.com,9828546078,password298,User,Limited,Manager,FALSE
8,lisa19@ochoa-benson.com,9878477522,password935,Admin,Full,User,TRUE
9,suttonaaron@mcdaniel-baxter.com,9870446378,password694,Admin,Limited,Admin,FALSE
10,williamsonadam@yahoo.com,9846203294,password414,Admin,Full,Manager,TRUE
11,tamara53@hotmail.com,9855602500,password616,User,Limited,Admin,FALSE
12,courtneyrobles@hotmail.com,9860366386,password579,Admin,Moderate,Admin,TRUE
13,lanedebra@yahoo.com,9848334378,password165,Admin,Moderate,Admin,TRUE
14,scottdonna@hotmail.com,9856820706,password892,Admin,Moderate,Admin,FALSE
15,petersonlindsay@hotmail.com,9835562568,password387,User,Full,Manager,FALSE
16,josephgonzalez@peterson-mejia.com,9844423856,password797,Admin,Full,Admin,FALSE
17,wattscrystal@brooks.info,9878143974,password781,Admin,Full,User,FALSE
18,zleon@yahoo.com,9847728164,password495,Admin,Limited,Manager,TRUE
19,schapman@yahoo.com,9832906973,password239,User,Full,User,TRUE
20,samantha98@gmail.com,9838812074,password211,Admin,Moderate,User,TRUE
21,andrewgonzalez@gay.com,9873547375,password102,User,Full,User,TRUE
22,kristen96@gmail.com,9860438951,password791,User,Moderate,Admin,FALSE
23,youngcrystal@james.com,9868569525,password967,Admin,Full,Manager,TRUE
24,rpratt@hanna.com,9845326755,password314,Admin,Limited,Manager,TRUE
25,moniquecampbell@yahoo.com,9854464541,password189,Admin,Limited,User,FALSE
26,claire32@tran.com,9896024865,password498,Admin,Limited,User,TRUE
27,wrightgary@gmail.com,9893087130,password833,Admin,Full,User,TRUE
28,raven93@hotmail.com,9813081390,password658,Admin,Limited,User,FALSE
29,umarshall@hotmail.com,9830270458,password817,User,Moderate,User,FALSE
30,morganvanessa@yahoo.com,9833746415,password154,Admin,Full,Admin,FALSE
31,lthompson@yahoo.com,9874527515,password373,Admin,Full,Manager,FALSE
32,mcleanlaura@little.com,9853940638,password493,User,Moderate,Admin,TRUE
33,eric61@williams.com,9811010351,password157,Admin,Limited,Admin,TRUE
34,hlee@butler-mccullough.com,9812260586,password856,Admin,Full,User,FALSE
35,ginasimmons@hotmail.com,9867478909,password257,User,Moderate,Admin,TRUE
36,andrewwilliams@ellis.com,9886770404,password834,User,Moderate,Manager,FALSE
37,timothy58@rodriguez.net,9814210545,password847,Admin,Limited,Manager,FALSE
38,robertsimmons@franklin.com,9854673773,password607,User,Moderate,Admin,TRUE
39,tmann@stark-bryant.biz,9845558040,password183,Admin,Full,User,TRUE
40,williebyrd@hill.com,9856208432,password708,User,Limited,User,TRUE
41,seanschwartz@price-gonzalez.com,9896663606,password645,Admin,Limited,Manager,TRUE
42,edwin02@yahoo.com,9895578403,password867,Admin,Moderate,User,FALSE
43,toliver@yahoo.com,9866629536,password958,Admin,Moderate,Admin,FALSE
44,andrewoneal@gmail.com,9885847067,password123,User,Full,Admin,FALSE
45,martinezmichael@stewart.com,9821119316,password712,Admin,Moderate,Manager,FALSE
46,gavingonzalez@gmail.com,9840285369,password286,Admin,Moderate,Manager,TRUE
47,andrew88@yahoo.com,9889187107,password480,User,Moderate,Manager,FALSE
48,hgates@hotmail.com,9817046890,password791,Admin,Moderate,Manager,FALSE
49,lesterjoe@yahoo.com,9881807075,password764,Admin,Full,Manager,FALSE
50,qshields@yahoo.com,9891802761,password382,Admin,Moderate,Manager,TRUE
51,ngriffin@gmail.com,9832635804,password534,Admin,Full,User,TRUE
52,jordancynthia@grant-gallegos.biz,9887649934,password406,User,Limited,Manager,TRUE
53,hurleysarah@gmail.com,9872901184,password212,Admin,Limited,Admin,FALSE
